title,company,location,type,links,description,company_link,comp_logo_link
Data Analysis Instructor (Excel - Power BI),EpsilonAI,"Nasr City, Cairo, Egypt","['Full Time', 'Part Time', 'Freelance / Project']",https://wuzzuf.net/jobs/p/oOKRpUGGzzuO-Data-Analysis-Instructor-Excel---Power-BI-EpsilonAI-Cairo-Egypt?o=1&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['As a Data Analysis Instructor, you will guide your Trainees through hands-on exercises, and introduce important tools such as Excel, Power BI', 'conducting and delivering direct training sessions for internal and external clients', 'All of our classes are part-time, designed to fit into your work schedule so you will be able to enjoy teaching while still being able to manage your full-time responsibilities at your current company.', 'Ability to connect and build relationships with Trainees and colleagues from varied ethnicities, ages, backgrounds, learning styles, and abilities', 'Delivering training across the entire organization', 'Someone who has an obsession with constantly learning new technologies, and a personal dedication to always be up to date with the very latest coding languages, deployment technologies, and industry best practices.', 'prepare and evaluate diploma assignments, graduation projects, and final exams', ""answering trainee's questions and providing quick support"", 'Utilizing a variety of training methodologies, techniques, concepts, learning tools, and practices to ensure maximum effectiveness of training programs']",https://wuzzuf.net/jobs/careers/EpsilonAI-Egypt-65111,https://images.wuzzuf-data.net/files/company_logo/EpsilonAI-Egypt-65111-1626178228.png
Senior Data Analyst - Cairo,Confidential,"Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/R7KdIv7dCm0z-Senior-Data-Analyst---Cairo-Cairo-Egypt?o=2&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['1. Responsible for preparing and analyzing data from all projects covered by RSC ”Remote Support Center” unit.', '2. Build different types of dashboards and presentations illustrating the situation of the covered projects.', '3. Lead cross-functional projects using advanced data modeling and analysis techniques to discover insights that will guide strategic decisions and uncover optimization opportunities.', '4. Build, develop and maintain data models, reporting systems, data automation systems, dashboards and performance metrics support that support key business decisions.', '5. Design and build technical processes to address business issues.', '6. Oversee the design and delivery of reports and insights that analyze business functions and key operations and performance metrics.', '7. Ensure accuracy of data and deliverables of reporting employees with comprehensive policies and processes.', '8. Manage and optimize processes for data intake, validation, mining and engineering as well as modeling, visualization and communication deliverables.', '9. Organize and drive successful completion of data insight initiatives through effective management of analyst and data employees and effective collaboration with stakeholders.', '10. Communicate results and business impacts of insight initiatives to stakeholders within the company.']","Link not found, the company prefer to keep its name hidden!!","Logo not found, the company prefer to keep its name hidden!!"
Data Analyst,Hands of Hope Physical Therapy & Wellness,"Maadi, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/9AAaTU2msaG5-Data-Analyst-Hands-of-Hope-Physical-Therapy-Wellness-Cairo-Egypt?o=3&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Track, collect, and interpret data, then analyze results using statistical techniques', 'Identify, analyze and interpret trends or patterns in complex data set', 'Provide insights and make recommendations based on data analysis', 'Google Analytics and similar platforms to present actionable insights in a visually appealing format.', 'Apply Data Cleaning Techniques for historical data.', 'Interpret data & analyze results to provide ongoing reports and dashboards', 'Translate their findings of trends, wrong data entries… into easy-to-understand reports, dashboards & presentations for management to get a clear picture of the department’s operations and ways to improve them.', 'Build company balance scorecard model', 'Analyze the historical data to forecast and create staffing scenarios for inbound and outbound business functions.', 'Provide quality assurance of imported data', 'Processing confidential data and information according to guidelines.', 'Managing and designing the reporting environment, including data sources, security, and metadata.', 'Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems.', 'Generating reports from single or multiple systems.', 'Troubleshooting the reporting database environment and reports.', 'Evaluating changes and updates to source production systems.', 'Training end-users on new reports and dashboards.', 'Providing technical expertise in data storage structures, data mining, and data cleansing.']",https://wuzzuf.net/jobs/careers/Hands%20of%20Hope%20Physical%20Therapy%20&%20Wellness-Egypt-76168,https://images.wuzzuf-data.net/files/company_logo/9483258146258857cdb3da.png
Data Analyst,Gila Electric,"New Cairo, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/adeG14H7rqQA-Data-Analyst-Gila-Electric-Cairo-Egypt?o=4&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Interpret data, analyze results using statistical techniques and provide ongoing reports across different levels of the Life division.', 'Obtain data from internal data sources and maintain databases/data systems.', 'Actively identify, analyze, and interpret trends or patterns in simple to complex data sets.', 'Managing master data, including creation, updates, and deletion.', 'Managing users and user roles.', 'Provide quality assurance of imported data, working with quality assurance analysts if necessary.', 'Processing confidential data and information according to guidelines.', 'Helping develop reports and analysis.', 'Managing and designing the reporting environment, including data sources, security, and metadata.', 'Supporting initiatives for data integrity and normalization.', 'Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems.', 'Generating reports from single or multiple systems.', 'Troubleshooting the reporting database environment and reports.', 'Evaluating changes and updates to source production systems.', 'Training end-users on new reports and dashboards.', 'Providing technical expertise in data storage structures, data mining, and data cleansing.']",https://wuzzuf.net/jobs/careers/Gila-Electric-Egypt-23151,https://images.wuzzuf-data.net/files/company_logo/Gila-Electric-Egypt-23151-1597271038.jpg
Senior Data Scientist,Fixed Solutions,"Sheraton, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/PVAeMhWwvA6Q-Senior-Data-Scientist-Fixed-Solutions-Cairo-Egypt?o=5&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Design and Develop analytical insights based on unstructured and structured data for industry-scaleanalytical solutions on Cloud and on Prem.', 'Convert requirements into actual working modules.', 'Work with Data Scientists and Distinguished Engineers and Architects to solve problems by using analytics as a tool.']",https://wuzzuf.net/jobs/careers/Fixed-Solutions-Egypt-18523,https://images.wuzzuf-data.net/files/company_logo/Fixed-Solutions-Egypt-18523-1517185135.png
Data Engineer,Cilantro,"Maadi, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/Vd4JAvFk3kzv-Data-Engineer-Cilantro-Cairo-Egypt?o=6&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['ETL maintenance for data freshness and maximum warehouse uptime', 'Integrate new data sources to ETL', 'Build monitoring dashboards for data delivery and quality', 'Data platform infrastructure maintenance and expansion when necessary', 'Adapting and evolving the data platform based on business requirements', 'Support in analytical dashboards creation and interfaces for stakeholders', 'Support in analytical tools development and maintenance']",https://wuzzuf.net/jobs/careers/Cilantro-Egypt-69955,https://images.wuzzuf-data.net/files/company_logo/Cilantro-Egypt-69955-1638611455.jpg
Data Analyst,Lecico Egypt,"Alexandria, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/123dzktUWSha-Data-Analyst-Lecico-Egypt-Alexandria-Egypt?o=7&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Developing and maintaining databases, data systems - reorganizing data in a readable format.', 'Performing analysis to assess quality and meaning of data.', 'Filter data by reviewing reports and performance indicators to identify and correct code problems.', 'Prepare sales trackers for distributors and products daily.', 'Prepare some data about stocks to help in giving ideas.', 'Analyzing local, national, and global trends that impact both the organization and industry.', 'Preparing reports for management stating trends, patterns, and predictions using relevant data.']",https://wuzzuf.net/jobs/careers/Lecico-Egypt-Egypt-14389,https://images.wuzzuf-data.net/files/company_logo/Lecico-Egypt-Egypt-14389.png
Data Analyst - Quality Assurance Department,IdealRatings,"Heliopolis, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/SmiRP57Qnyx1-Data-Analyst---Quality-Assurance-Department-IdealRatings-Cairo-Egypt?o=8&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Assist in ensuring the quality of large dataset.', 'Run analysis to identify the weaknesses of the tested data.', 'Execute automated and unautomated test cases, analyze the results, and share the findings.', 'Clearly communicate details of issues, severity, and priority.']",https://wuzzuf.net/jobs/careers/IdealRatings-Egypt-4076,https://images.wuzzuf-data.net/files/company_logo/IdealRatings-Egypt-4076.png
Senior Data Engineer- Banha,Z2 Data,"Qalubia, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/gPlkgoEtHL4N-Senior-Data-Engineer--Banha-Z2-Data-Qalubia-Egypt?o=9&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['The goal is to ensure that information flows timely and securely to and from the organization as well as within.', 'Formulate techniques for quality data collection to ensure adequacy, accuracy and legitimacy of data', 'Devise and implement efficient and secure procedures for data handling and analysis with attention to all technical aspects', 'Establish rules and procedures for data sharing with upper management, external stakeholders etc.', 'Support others in the daily use of data systems and ensure adherence to legal and company standards', 'Assist with reports and data extraction when needed', 'Monitor and analyze information and data systems and evaluate their performance to discover ways of enhancing them (new technologies, upgrades etc.)', 'Ensure digital databases and archives are protected from security breaches and data losses', 'Troubleshoot data-related problems and authorize maintenance or modifications']",https://wuzzuf.net/jobs/careers/Z2-Data-Egypt-10002,https://images.wuzzuf-data.net/files/company_logo/Z2-Data-Egypt-10002-1516293068.png
Junior Data Engineer - Benha,Z2 Data,"Banha, Qalubia, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/njfYW6M0SxCi-Junior-Data-Engineer---Benha-Z2-Data-Qalubia-Egypt?o=10&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['The goal is to ensure that information flows timely and securely to and from the organization as well as within.', 'Formulate techniques for quality data collection to ensure adequacy, accuracy and legitimacy of data', 'Devise and implement efficient and secure procedures for data handling and analysis with attention to all technical aspects', 'Establish rules and procedures for data sharing with upper management, external stakeholders etc.', 'Support others in the daily use of data systems and ensure adherence to legal and company standards', 'Assist with reports and data extraction when needed', 'Monitor and analyze information and data systems and evaluate their performance to discover ways of enhancing them (new technologies, upgrades etc.)', 'Ensure digital databases and archives are protected from security breaches and data losses', 'Troubleshoot data-related problems and authorize maintenance or modifications']",https://wuzzuf.net/jobs/careers/Z2-Data-Egypt-10002,https://images.wuzzuf-data.net/files/company_logo/Z2-Data-Egypt-10002-1516293068.png
